mgrs,Date,Incident Type,Incident Category,Target Category,target,force_type,date_time_occ,mgrs_X,mgrs_Y,City,Province
38SMC3952004880,9-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,CF,5/9/2008 14:07,44.34901735,33.48170119,Adhamiya,Baghdad
38SLD6132061820,9-May-08,Explosive Hazard,Unexploded Ordnance,NULL,NULL,CF,5/9/2008 14:16,43.48234938,34.88932092,Tikrit,Salah al-Din
38SMB4753093290,9-May-08,Explosive Hazard,IED Hoax,NULL,NULL,CF,5/9/2008 14:18,44.43590651,33.37759018,Al Sadr,Baghdad
38SMB5466281827,9-May-08,Enemy Action,Indirect Fire,Base/Station,Coalition,CF,5/9/2008 14:30,44.51315378,33.27452351,Al Resafa,Baghdad
38SMB5465087110,9-May-08,Enemy Action,Direct Fire,Patrol,Coalition,CF,5/9/2008 14:32,44.51276008,33.32217365,Al Sadr,Baghdad
38SMB4486,9-May-08,Enemy Action,Indirect Fire,NULL,NULL,,5/9/2008 14:45,44.39841033,33.31166065,Karkh,Baghdad
38SMB44698637,9-May-08,Enemy Action,Indirect Fire,Base/Station,Coalition,CF,5/9/2008 14:48,44.40579979,33.3150335,Karkh,Baghdad
38SMB4670093220,9-May-08,Enemy Action,Direct Fire,Patrol,Coalition,CF,5/9/2008 14:55,44.42698788,33.37691795,Al Sadr,Baghdad
38SMB3692,9-May-08,Explosive Hazard,IED Explosion,NULL,NULL,,5/9/2008 15:00,44.31204867,33.36533025,Khadamiya,Baghdad
38SMB5376589591,9-May-08,Enemy Action,Indirect Fire,Base/Station,Coalition,CF,5/9/2008 15:00,44.50312493,33.34451351,Al Sadr,Baghdad
38SMB4782392899,9-May-08,Enemy Action,Direct Fire,Patrol,Coalition,CF,5/9/2008 15:03,44.43907899,33.37407787,Al Sadr,Baghdad
38SMB4683277521,9-May-08,Explosive Hazard,Unexploded Ordnance,NULL,NULL,CF,5/9/2008 15:10,44.42932997,33.2353276,Karkh,Baghdad
38SMB5184093440,9-May-08,Enemy Action,Direct Fire,Base/Station,Coalition,CF,5/9/2008 15:13,44.48223264,33.37914501,Al Sadr,Baghdad
38SMB4745693416,9-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,CF,5/9/2008 15:22,44.43510364,33.378723,Al Sadr,Baghdad
38SMC4048356410,9-May-08,Explosive Hazard,Unexploded Ordnance,NULL,NULL,CF,5/9/2008 15:30,44.35592147,33.94649244,Balad,Salah al-Din
38SMB5590292840,9-May-08,Enemy Action,Direct Fire,Other,Coalition,CF,5/9/2008 15:31,44.52593113,33.37390777,Al Sadr,Baghdad
38SMB3670693876,9-May-08,Enemy Action,Indirect Fire,Base/Station,Coalition,CF,5/9/2008 15:42,44.31950542,33.38229209,Khadamiya,Baghdad
38SMB3831083030,9-May-08,Enemy Action,Direct Fire,Patrol,Coalition,CF,5/9/2008 15:43,44.33749045,33.28456223,Karkh,Baghdad
38SMB4746293394,9-May-08,Explosive Hazard,IED Explosion,Patrol,Coalition,CF,5/9/2008 15:46,44.43516942,33.37852487,Al Sadr,Baghdad
38SLF269245,9-May-08,Enemy Action,Direct Fire,Security,Host Nation,ISF,5/9/2008 16:01,43.07093844,36.35002467,Mosul,Ninewa
38SMB5191,9-May-08,Enemy Action,Direct Fire,NULL,NULL,,5/9/2008 16:15,44.47333476,33.35709953,Al Sadr,Baghdad
38SMB5568893201,9-May-08,Enemy Action,Direct Fire,Patrol,Coalition,CF,5/9/2008 16:17,44.52361287,33.37715501,Al Sadr,Baghdad
38SLF284303,9-May-08,Explosive Hazard,IED Explosion,Patrol,Host Nation,ISF,5/9/2008 16:23,43.0863661,36.40255327,Tilkaif,Ninewa
38SMB5375084950,9-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,CF,5/9/2008 16:30,44.50320131,33.30265304,Al Sadr,Baghdad
38SMB5550093900,9-May-08,Enemy Action,Direct Fire,Other,Coalition,CF,5/9/2008 16:34,44.52155727,33.38345188,Al Sadr,Baghdad
38SMB4794092920,9-May-08,Explosive Hazard,IED Explosion,Patrol,Coalition,CF,5/9/2008 16:35,44.44033552,33.37427295,Al Sadr,Baghdad
38SLF291291,9-May-08,Explosive Hazard,IED Found/Cleared,NULL,NULL,CF,5/9/2008 16:38,43.09443245,36.39186566,Mosul,Ninewa
38SMB4196887890,9-May-08,Enemy Action,Indirect Fire,Base/Station,Coalition,CF,5/9/2008 16:48,44.37646095,33.32859967,Karkh,Baghdad
